"ticker","has_dividends","adj_equals_close_all_rows","check_status","note","data_source"
"AGG","CHECKED_VIA_ADJ_CLOSE","N/A","PASS","Adjusted close enforced (yfinance)","yfinance"
"AIA","CHECKED_VIA_ADJ_CLOSE","N/A","PASS","Adjusted close enforced (yfinance)","yfinance"
"BIL","CHECKED_VIA_ADJ_CLOSE","N/A","PASS","Adjusted close enforced (yfinance)","yfinance"
"BIZD","CHECKED_VIA_ADJ_CLOSE","N/A","PASS","Adjusted close enforced (yfinance)","yfinance"
"BTAL","CHECKED_VIA_ADJ_CLOSE","N/A","PASS","Adjusted close enforced (yfinance)","yfinance"
"EMB","CHECKED_VIA_ADJ_CLOSE","N/A","PASS","Adjusted close enforced (yfinance)","yfinance"
"EWJ","CHECKED_VIA_ADJ_CLOSE","N/A","PASS","Adjusted close enforced (yfinance)","yfinance"
"HYG","CHECKED_VIA_ADJ_CLOSE","N/A","PASS","Adjusted close enforced (yfinance)","yfinance"
"SPY","CHECKED_VIA_ADJ_CLOSE","N/A","PASS","Adjusted close enforced (yfinance)","yfinance"
"VGK","CHECKED_VIA_ADJ_CLOSE","N/A","PASS","Adjusted close enforced (yfinance)","yfinance"
