window,portfolio,cum_return,peak_to_trough_dd,recovery_days
covid,Current,-0.10702712252269297,-0.2601025861429138,
covid,SAA,-0.10356151008124603,-0.22847934755627541,
covid,TAA Static,-0.10854187674415572,-0.2476338627600322,
covid,TAA Quarterly,-0.10471289833226716,-0.23196450777790034,
rates_2022,Current,-0.1615602718256567,-0.2100168752625844,
rates_2022,SAA,-0.17022513256251548,-0.20067465456690536,
rates_2022,TAA Static,-0.17434394302532785,-0.20510126462362133,
rates_2022,TAA Quarterly,-0.17602645959096452,-0.2073911663099206,
q4_2018,Current,-0.10442488095073832,-0.14451090302928227,
q4_2018,SAA,-0.06756929823037594,-0.08881461887696873,
q4_2018,TAA Static,-0.07135158222481974,-0.09331278942348897,
q4_2018,TAA Quarterly,-0.0741509114175457,-0.09582793495668962,
