tc_bps,portfolio,cagr,sharpe_rf_cash,max_drawdown
0,Current,0.11182918473722925,0.690376606373411,-0.26089506141264085
0,SAA,0.07491976396880418,0.56731286530083,-0.22906305315890652
0,TAA Static,0.0775347832665727,0.5610657148217946,-0.2484630461792493
0,TAA Quarterly,0.07624651093282075,0.5590927557977782,-0.23276531444086956
10,Current,0.11165175639736113,0.6891860515032384,-0.26089506141264085
10,SAA,0.07468636581526433,0.5650560927802196,-0.22906305315890663
10,TAA Static,0.0775347832665727,0.5610657148217946,-0.2484630461792493
10,TAA Quarterly,0.07610824215285206,0.5578171528630026,-0.23276531444087
25,Current,0.11138565839319714,0.6874000004929521,-0.26089506141264096
25,SAA,0.07433634745491546,0.5616703704747881,-0.22906305315890663
25,TAA Static,0.0775347832665727,0.5610657148217946,-0.2484630461792493
25,TAA Quarterly,0.07590085598984841,0.5559030256973809,-0.2327653144408699
